Rank,Profile,Fan Score,Volume,Last sale,Floor,Tweets,Profile URL,Timestamp
1,1greg,1K,176.1,2,0.98,163,/hero/greg16676935420,2024-06-10 00:54:35
2,is doing nothing,999,114.2,3,1.1,97,/hero/0xgaut,2024-06-10 00:54:35
3,🦁☝️ Remilio | ᚱᚹᛟ,979,157.2,0.5,1.8,227,/hero/xbtGBH,2024-06-10 00:54:35
4,4Heart,967,57.5,0.3,0.2,252,/hero/heartereum,2024-06-10 00:54:35
5,5blockgraze,938,114.7,1,0.77,338,/hero/blockgraze,2024-06-10 00:54:35
6,🐂🀄️,913,196.1,1,1.13,809,/hero/blknoiz06,2024-06-10 00:54:35
7,7ً,902,85,0.55,0.49,115,/hero/trading_axe,2024-06-10 00:54:35
8,8based16z,897,62.3,0.2,0.29,360,/hero/based16z,2024-06-10 00:54:35
9,9jingtao,894,30.5,0.5,0.4,312,/hero/muzzyvermillion,2024-06-10 00:54:35
10,☪️,893,89.2,0.27,0.46,1K,/hero/KookCapitalLLC,2024-06-10 00:54:35
11,DICK BULL (BDB),872,136.4,0.2,0.31,151,/hero/BigDickBull69,2024-06-10 00:54:35
12,👑,861,114.4,0.17,0.21,573,/hero/notthreadguy,2024-06-10 00:54:35
13,13Evanss6,842,73.2,0.9,0.33,607,/hero/Evan_ss6,2024-06-10 00:54:35
14,A L E O,826,341.8,0.19,0.19,169,/hero/CryptoKaleo,2024-06-10 00:54:35
15,15laurence,823,43.1,0.19,0.17,170,/hero/functi0nZer0,2024-06-10 00:54:35
16,16vydamo,821,205.2,0.15,0.17,410,/hero/vydamo_,2024-06-10 00:54:35
17,17W3Q,816,52,0.5,0.27,52,/hero/Web3Quant,2024-06-10 00:54:35
18,Martingale,800,122.9,0.07,0.06,90,/hero/HugoMartingale,2024-06-10 00:54:35
19,| helius.dev,795,76.7,0.09,0.34,757,/hero/0xMert_,2024-06-10 00:54:35
20,👁️,782,220.2,0.15,0.09,246,/hero/screentimes,2024-06-10 00:54:35
21,21artsch00lreject,780,78,2,0.23,151,/hero/artsch00lreject,2024-06-10 00:54:35
22,22moon,773,122.7,0.25,0.07,68,/hero/MoonOverlord,2024-06-10 00:54:35
23,"Of SoHo (🍷,🍷)",740,7.8,0.34,0.17,470,/hero/wizardofsoho,2024-06-10 00:54:35
24,24knv,734,4.4,0.69,0.14,529,/hero/knveth,2024-06-10 00:54:35
25,🧙‍♂️,732,151.6,0.2,0.13,122,/hero/boldleonidas,2024-06-10 00:54:35
26,von Trier,730,12.1,0.25,0.07,162,/hero/LarpVonTrier,2024-06-10 00:54:35
27,27Chumbawamba,711,8.6,1,0.07,438,/hero/chumbawamba22,2024-06-10 00:54:35
28,28rwlk,711,145.8,0.1,0.1,32,/hero/sherlock_hodles,2024-06-10 00:54:35
29,29wrld,709,86.4,0.09,0.08,130,/hero/wrld_sol,2024-06-10 00:54:35
30,30tervo,709,41.8,0.09,0.06,744,/hero/tervoooo,2024-06-10 00:54:35
31,31jay,705,59.2,0.3,0.08,97,/hero/0xjaypeg,2024-06-10 00:54:35
32,(computer) 🐂,704,64.4,0.5,0.12,525,/hero/SCHIZO_FREQ,2024-06-10 00:54:35
33,🐺🦊,704,45.4,0.15,0.11,289,/hero/basedkarbon,2024-06-10 00:54:35
34,Selkis (d/acc) 🇺🇸,692,206.2,0.04,0.07,308,/hero/twobitidiot,2024-06-10 00:54:35
35,35rasmr,677,11.9,0.55,0.06,150,/hero/rasmr_eth,2024-06-10 00:54:35
36,36nani🤍,668,107.9,0.2,0.03,459,/hero/naniXBT,2024-06-10 00:54:35
37,37o.o,664,117.1,0.5,0.04,68,/hero/larpalt,2024-06-10 00:54:35
